Date,Close,Volume,Open,High,Low
01/29/2026,105.57,246351300,109.53,109.83,96.74
01/28/2026,105.6,184566000,102.78,106.45,100
01/27/2026,101.59,215489700,97.98,101.74,95.07
01/26/2026,98.34,393030300,99.37,106.7,96.51
01/23/2026,92.91,143739100,90.19,92.9799,89.665
01/22/2026,87.13,86965020,84.79,87.52,84.71
01/21/2026,83.96,141683900,85.6,85.895,81.89
01/20/2026,85.39,101272300,86.19,86.33,84.3805
01/16/2026,81.02,132767200,80.33,81.52,78.745
01/15/2026,83.32,160702100,80.74,84.33,80.54
01/14/2026,84.56,177419400,83.34,84.78,81.28
01/13/2026,78.6,140656900,80.03,80.8,77.86
01/12/2026,77.23,105429600,76.11,78.18,76
01/09/2026,72.38,90650130,71.31,72.99,70.8713
01/08/2026,69.71,77918290,67.24,69.77,66.92
01/07/2026,70.96,93679520,69.82,71.545,69.22
01/06/2026,73.71,105539100,71.43,73.84,71.35
01/05/2026,69.08,103313300,69.45,70.6,68.52
01/02/2026,65.75,75553310,67.3,67.36,64.745
12/31/2025,64.42,114745300,65.54,66.88,63.53
12/30/2025,68.98,117759200,69.105,70.76,68.0307
12/29/2025,66.01,153207900,65.657,66.485,63.92
12/26/2025,71.12,139161200,67.83,71.225,67.345
12/24/2025,65.22,58825950,65.08,65.525,63.605
12/23/2025,64.84,75680000,63.68,64.875,62.37
12/22/2025,62.47,50621720,62.6,62.82,61.74
12/19/2025,60.93,42610050,59.79,61.16,59.69
12/18/2025,59.32,47603350,59.82,60.025,58.58
12/17/2025,60.26,65127980,59.27,60.64,59.045
12/16/2025,57.73,32461260,57.61,57.99,57.1001
12/15/2025,58.11,43227800,57.84,58.2,57.02
12/12/2025,56.1,78667370,58.53,58.56,55.13
12/11/2025,57.62,67910900,56.77,58.295,56.465
12/10/2025,56.07,54915010,55.13,56.215,54.48
12/09/2025,55.17,59738850,53.39,55.185,53.36
12/08/2025,52.71,19711180,52.89,52.965,52.26
12/05/2025,52.95,43566010,52.71,53.82,52.53
12/04/2025,51.76,48740290,52.28,52.36,51.135
12/03/2025,53.07,33817720,52.99,53.389,52.42
12/02/2025,53.13,43952650,52.83,53.2,51.765
12/01/2025,52.52,66064100,51.99,53.36,51.61
11/28/2025,51.21,41350010,49.67,51.27,49.58
11/26/2025,48.4,26280260,47.31,48.45,47.145
11/25/2025,46.67,24006640,46.55,46.77,45.97
11/24/2025,46.63,21486800,45.41,46.635,45.355
11/21/2025,45.3,26351870,44.9,45.95,44.76
11/20/2025,45.78,28460430,46.26,46.635,45.535
11/19/2025,46.45,30797070,46.8,47.5,45.69
11/18/2025,46.1,20909400,45.87,46.44,45.59
11/17/2025,45.47,23581990,45.81,46.26,44.945
11/14/2025,45.96,31793460,45.77,46.705,45.4
11/13/2025,47.42,39328400,48.29,48.4151,47.21
11/12/2025,48.32,51559720,47.1,48.6999,46.89
11/11/2025,46.45,19693670,46.28,46.48,45.6
11/10/2025,45.79,20763790,45.17,45.87,45.005
11/07/2025,43.92,16493110,44.02,44.23,43.51
